optimizer,dense_units,num_layers,epochs,batch_size,data_size,avg_val_score
adam,32,1,100,8,0.2,7.747013431731665
adam,32,1,100,16,0.2,7.718224622689929
adam,32,1,100,32,0.2,7.49645524810779
adam,32,1,100,64,0.2,7.264670220941383
adam,32,2,100,8,0.2,7.923566125219976
adam,32,2,100,16,0.2,8.16325937929381
adam,32,2,100,32,0.2,7.665733853232444
adam,32,2,100,64,0.2,7.548198830495531
adam,32,3,100,8,0.2,8.191104018589318
adam,32,3,100,16,0.2,7.78758722836007
adam,32,3,100,32,0.2,7.724182867677032
adam,32,3,100,64,0.2,7.813099078375058
adam,32,4,100,8,0.2,8.404494351969296
adam,32,4,100,16,0.2,7.884554868018687
adam,32,4,100,32,0.2,7.916737224390934
adam,32,4,100,64,0.2,7.66220765174221
adam,32,5,100,8,0.2,7.727222631632044
adam,32,5,100,16,0.2,8.073829572026458
adam,32,5,100,32,0.2,7.784080188818585
adam,32,5,100,64,0.2,7.479179706244047
adam,64,1,100,8,0.2,7.511206158092804
adam,64,1,100,16,0.2,7.681508636007342
adam,64,1,100,32,0.2,7.557461087219456
adam,64,1,100,64,0.2,7.2250098840997365
adam,64,2,100,8,0.2,7.748679849846832
adam,64,2,100,16,0.2,7.6774858211248
adam,64,2,100,32,0.2,7.374361257476943
adam,64,2,100,64,0.2,7.483517588340487
adam,64,3,100,8,0.2,7.89822934333165
adam,64,3,100,16,0.2,7.539170575907107
adam,64,3,100,32,0.2,7.546003000236541
adam,64,3,100,64,0.2,7.545461117468497
adam,64,4,100,8,0.2,7.663089398816011
adam,64,4,100,16,0.2,7.7250048435425755
adam,64,4,100,32,0.2,8.09414159673211
adam,64,4,100,64,0.2,7.5036846680383675
adam,64,5,100,8,0.2,7.606386779100833
adam,64,5,100,16,0.2,8.280476044403304
adam,64,5,100,32,0.2,7.6011911638009195
adam,64,5,100,64,0.2,7.757551314467991
adam,128,1,100,8,0.2,6.960957131651966
adam,128,1,100,16,0.2,7.5534557275276315
adam,128,1,100,32,0.2,7.418112636535071
adam,128,1,100,64,0.2,7.1689792423885255
adam,128,2,100,8,0.2,7.074414527403765
adam,128,2,100,16,0.2,7.472419145686412
adam,128,2,100,32,0.2,7.579406154098225
adam,128,2,100,64,0.2,7.6475491018080435
adam,128,3,100,8,0.2,7.1889198715036375
adam,128,3,100,16,0.2,7.459408202838932
adam,128,3,100,32,0.2,7.65323476175049
adam,128,3,100,64,0.2,7.562781572972509
adam,128,4,100,8,0.2,7.127477212141332
adam,128,4,100,16,0.2,7.158702177273798
adam,128,4,100,32,0.2,7.438829505755109
adam,128,4,100,64,0.2,7.880319579550653
adam,128,5,100,8,0.2,7.325313822428873
adam,128,5,100,16,0.2,7.598283458059333
adam,128,5,100,32,0.2,7.509465384798257
adam,128,5,100,64,0.2,7.643959275860658
rmsprop,32,1,100,8,0.2,8.114397757436981
rmsprop,32,1,100,16,0.2,8.045793919808554
rmsprop,32,1,100,32,0.2,8.155681961288792
rmsprop,32,1,100,64,0.2,7.879002094470579
rmsprop,32,2,100,8,0.2,8.558844117735696
rmsprop,32,2,100,16,0.2,7.950227118681451
rmsprop,32,2,100,32,0.2,8.817202769165139
rmsprop,32,2,100,64,0.2,8.018144810126817
rmsprop,32,3,100,8,0.2,8.7044801025426
rmsprop,32,3,100,16,0.2,7.89440562869085
rmsprop,32,3,100,32,0.2,8.867843029846028
rmsprop,32,3,100,64,0.2,7.845001746362479
rmsprop,32,4,100,8,0.2,7.756928985230201
rmsprop,32,4,100,16,0.2,8.173405839158866
rmsprop,32,4,100,32,0.2,8.410934877079017
rmsprop,32,4,100,64,0.2,7.942926980851484
rmsprop,32,5,100,8,0.2,7.947971183544101
rmsprop,32,5,100,16,0.2,7.942832602531195
rmsprop,32,5,100,32,0.2,8.420722323621634
rmsprop,32,5,100,64,0.2,8.427790255321577
rmsprop,64,1,100,8,0.2,7.4952689244585615
rmsprop,64,1,100,16,0.2,7.884456180218729
rmsprop,64,1,100,32,0.2,7.9081011437303035
rmsprop,64,1,100,64,0.2,7.617926360428628
rmsprop,64,2,100,8,0.2,8.215719500475435
rmsprop,64,2,100,16,0.2,7.697844669474456
rmsprop,64,2,100,32,0.2,7.977614663212987
rmsprop,64,2,100,64,0.2,7.549422963072239
rmsprop,64,3,100,8,0.2,8.192180977388123
rmsprop,64,3,100,16,0.2,8.212464787125706
rmsprop,64,3,100,32,0.2,9.150626874934243
rmsprop,64,3,100,64,0.2,9.320144663139136
rmsprop,64,4,100,8,0.2,7.887008163294055
rmsprop,64,4,100,16,0.2,8.41356291267543
rmsprop,64,4,100,32,0.2,9.663771702442654
rmsprop,64,4,100,64,0.2,8.765343124219296
rmsprop,64,5,100,8,0.2,7.793769258115512
rmsprop,64,5,100,16,0.2,8.047886140601479
rmsprop,64,5,100,32,0.2,8.42508308058151
rmsprop,64,5,100,64,0.2,8.090797190567802
rmsprop,128,1,100,8,0.2,7.664817287752794
rmsprop,128,1,100,16,0.2,7.601354026336272
rmsprop,128,1,100,32,0.2,7.695166459242671
rmsprop,128,1,100,64,0.2,7.435464626418408
rmsprop,128,2,100,8,0.2,7.2872432339049285
rmsprop,128,2,100,16,0.2,6.931255901930785
rmsprop,128,2,100,32,0.2,7.633885229623443
rmsprop,128,2,100,64,0.2,7.742656173615115
rmsprop,128,3,100,8,0.2,7.325857293341596
rmsprop,128,3,100,16,0.2,7.438549168490883
rmsprop,128,3,100,32,0.2,7.8150285898783425
rmsprop,128,3,100,64,0.2,8.613863442596102
rmsprop,128,4,100,8,0.2,7.348765148250948
rmsprop,128,4,100,16,0.2,7.352296044311754
rmsprop,128,4,100,32,0.2,7.476682436933086
rmsprop,128,4,100,64,0.2,8.376129622355739
rmsprop,128,5,100,8,0.2,7.119154571303218
rmsprop,128,5,100,16,0.2,7.442504035062413
rmsprop,128,5,100,32,0.2,7.97198028115303
rmsprop,128,5,100,64,0.2,8.840451722193952
